date	DJIA
1995	
1995	3857.64990234375
1995	3850.919921875
1995	3867.409912109375
1995	3861.35009765625
1995	3866.739990234375
1995	3862.030029296875
1995	3859
1995	3908.4599609375
1995	3932.340087890625
1995	3930.659912109375
1995	3928.97998046875
1995	3882.2099609375
1995	3869.429931640625
1995	3867.409912109375
1995	3862.699951171875
1995	3871.449951171875
1995	3870.43994140625
1995	3857.989990234375
1995	3832.080078125
1995	3843.860107421875
1995	3847.56005859375
1995	3870.77001953125
1995	3928.639892578125
1995	3937.72998046875
1995	3937.389892578125
1995	3935.3701171875
1995	3932.679931640625
1995	3939.070068359375
1995	3954.2099609375
1995	3958.25
1995	3986.169921875
1995	3987.52001953125
1995	3953.5400390625
1995	3963.969970703125
1995	3973.050048828125
1995	4003.330078125
1995	4011.739990234375
1995	3988.570068359375
1995	4011.050048828125
1995	3994.800048828125
1995	3979.929931640625
1995	3989.610107421875
1995	3997.56005859375
1995	3962.6298828125
1995	3979.22998046875
1995	3983.389892578125
1995	4035.610107421875
1995	4025.22998046875
1995	4048.75
1995	4038.3701171875
1995	4069.14990234375
1995	4073.64990234375
1995	4083.679931640625
1995	4072.610107421875
1995	4082.989990234375
1995	4087.830078125
1995	4138.669921875
1995	4157.33984375
1995	4151.81005859375
1995	4160.7998046875
1995	4172.56005859375
1995	4157.68994140625
1995	4168.41015625
1995	4201.60986328125
1995	4200.56982421875
1995	4205.41015625
1995	4192.6201171875
1995	4198.14990234375
1995	4187.080078125
1995	4197.81005859375
1995	4208.18017578125
1995	4195.3798828125
1995	4179.1298828125
1995	4207.490234375
1995	4230.66015625
1995	4270.08984375
1995	4303.97998046875
1995	4300.169921875
1995	4299.830078125
1995	4314.7001953125
1995	4321.27001953125
1995	4316.080078125
1995	4328.8798828125
1995	4373.14990234375
1995	4359.66015625
1995	4343.39990234375
1995	4383.8701171875
1995	4390.77978515625
1995	4404.6201171875
1995	4411.18994140625
1995	4430.56005859375
1995	4437.47021484375
1995	4435.0498046875
1995	4422.60009765625
1995	4340.64013671875
1995	4341.330078125
1995	4395.6298828125
1995	4436.43994140625
1995	4438.16015625
1995	4412.22998046875
1995	4369
1995	4378.68017578125
1995	4465.14013671875
1995	4472.75
1995	4444.39013671875
1995	4476.5498046875
1995	4485.2001953125
1995	4462.02978515625
1995	4458.56982421875
1995	4423.990234375
1995	4446.4599609375
1995	4484.509765625
1995	4491.080078125
1995	4496.27001953125
1995	4510.7900390625
1995	4553.68017578125
1995	4550.56005859375
1995	4547.10009765625
1995	4589.64013671875
1995	4585.83984375
1995	4551.25
1995	4542.60986328125
1995	4556.7900390625
1995	4550.56005859375
1995	4556.10009765625
1995	4585.14990234375
1995	4615.22998046875
1995	4664
1995	4702.72998046875
1995	4702.39013671875
1995	4680.60009765625
1995	4727.2900390625
1995	4727.47998046875
1995	4708.81982421875
1995	4736.2900390625
1995	4686.27978515625
1995	4628.8701171875
1995	4641.5498046875
1995	4641.5498046875
1995	4668.669921875
1995	4714.4501953125
1995	4707.06005859375
1995	4732.77001953125
1995	4715.509765625
1995	4708.47021484375
1995	4700.3701171875
1995	4690.14990234375
1995	4701.419921875
1995	4683.4599609375
1995	4693.31982421875
1995	4693.31982421875
1995	4671.490234375
1995	4643.66015625
1995	4618.2998046875
1995	4659.85986328125
1995	4640.83984375
1995	4639.080078125
1995	4630.6298828125
1995	4617.60009765625
1995	4614.77978515625
1995	4620.419921875
1995	4584.85009765625
1995	4580.6201171875
1995	4601.39990234375
1995	4594
1995	4608.43994140625
1995	4604.60009765625
1995	4610.56005859375
1995	4647.5400390625
1995	4670.080078125
1995	4683.81005859375
1995	4669.72021484375
1995	4700.72021484375
1995	4704.93994140625
1995	4747.2099609375
1995	4765.52001953125
1995	4801.7998046875
1995	4797.56982421875
1995	4780.41015625
1995	4767.0400390625
1995	4792.68994140625
1995	4767.39990234375
1995	4764.14990234375
1995	4769.93017578125
1995	4765.60009765625
1995	4762.35009765625
1995	4787.64013671875
1995	4789.080078125
1995	4761.259765625
1995	4749.7001953125
1995	4740.669921875
1995	4762.7099609375
1995	4769.2099609375
1995	4726.22021484375
1995	4720.7998046875
1995	4735.25
1995	4764.8798828125
1995	4793.77978515625
1995	4784.3798828125
1995	4795.9501953125
1995	4777.52001953125
1995	4802.4501953125
1995	4794.85986328125
1995	4755.47998046875
1995	4783.66015625
1995	4753.68017578125
1995	4703.81982421875
1995	4741.75
1995	4756.56982421875
1995	4755.47998046875
1995	4766.68017578125
1995	4808.58984375
1995	4825.56982421875
1995	4814.009765625
1995	4797.02978515625
1995	4852.669921875
1995	4864.22998046875
1995	4870.3701171875
1995	4872.89990234375
1995	4871.81005859375
1995	4922.75
1995	4969.35986328125
1995	4989.9501953125
1995	4983.08984375
1995	5023.5498046875
1995	5041.60986328125
1995	5048.83984375
1995	5070.8798828125
1995	5078.10009765625
1995	5105.56005859375
1995	5074.490234375
1995	5087.1298828125
1995	5139.52001953125
1995	5177.4501953125
1995	5199.1298828125
1995	5159.39013671875
1995	5156.85986328125
1995	5184.31982421875
1995	5174.919921875
1995	5216.47021484375
1995	5182.14990234375
1995	5176.72998046875
1995	5075.2099609375
1995	5109.89013671875
1995	5059.31982421875
1995	5096.52978515625
1995	5097.97021484375
1995	5110.259765625
1995	5105.919921875
1995	5095.7998046875
1995	5117.1201171875
1996	5177.4501953125
1996	5194.06982421875
1996	5173.83984375
1996	5181.43017578125
1996	5197.7001953125
1996	5130.1298828125
1996	5032.93994140625
1996	5065.10009765625
1996	5061.1201171875
1996	5043.77978515625
