date	adjclose_F	time	F
02jan1990		1	
03jan1990	3.259227275848389	2	
04jan1990	3.259227275848389	3	0
05jan1990	3.214457988739014	4	-.01383138
08jan1990	3.214457988739014	5	0
09jan1990	3.160734176635742	6	-.01685442
10jan1990	3.187594413757324	7	.0084621953
11jan1990	3.223411321640015	8	.011173685
12jan1990	3.133871555328369	9	-.028171057
15jan1990	3.098056316375732	10	-.011494239
16jan1990	3.223411321640015	11	.039665297
17jan1990	3.169686794281006	12	-.016807435
18jan1990	3.169686794281006	13	0
19jan1990	3.196548700332642	14	.0084389169
22jan1990	3.115965127944946	15	-.02553276
23jan1990	3.151779413223267	16	.01142825
24jan1990	3.078906774520874	17	-.023392595
25jan1990	3.042470693588257	18	-.011904677
26jan1990	3.088017225265503	19	.014859296
29jan1990	3.106236219406128	20	.005882564
30jan1990	3.097125291824341	21	-.0029374184
31jan1990	3.14267110824585	22	.014598753
01feb1990	3.11534309387207	23	-.0087338211
02feb1990	3.14267110824585	24	.0087338211
05feb1990	3.170000553131104	25	.0086586522
06feb1990	3.124454259872437	26	-.014472132
07feb1990	3.270200729370117	27	.045591738
08feb1990	3.2064368724823	28	-.019691056
09feb1990	3.2064368724823	29	0
12feb1990	3.2064368724823	30	0
13feb1990	3.215545177459717	31	.0028366044
14feb1990	3.25198221206665	32	.011267805
15feb1990	3.297528743743896	33	.0139086
16feb1990	3.233765363693237	34	-.019526117
20feb1990	3.2064368724823	35	-.008486894
21feb1990	3.297528743743896	36	.02801301
22feb1990	3.25198221206665	37	-.0139086
23feb1990	3.261090755462646	38	.0027970052
26feb1990	3.343074798583984	39	.024829255
27feb1990	3.361293077468872	40	.0054347627
28feb1990	3.352183103561401	41	-.0027139382
01mar1990	3.343074798583984	42	-.0027208244
02mar1990	3.434166669845581	43	.026883315
05mar1990	3.415946006774902	44	-.0053198268
06mar1990	3.470602989196777	45	.015873881
07mar1990	3.434166669845581	46	-.010554055
08mar1990	3.470602989196777	47	.010554055
09mar1990	3.452384233474731	48	-.0052632764
12mar1990	3.497930526733398	49	.013106441
13mar1990	3.507040023803711	50	.002600868
14mar1990	3.470602989196777	51	-.010444033
15mar1990	3.488822221755981	52	.0052358559
16mar1990	3.543476819992065	53	.015544191
19mar1990	3.516149997711182	54	-.0077417572
20mar1990	3.534366369247437	55	.0051673981
21mar1990	3.497930526733398	56	-.010362523
22mar1990	3.534366369247437	57	.010362523
23mar1990	3.516149997711182	58	-.0051673981
26mar1990	3.534366369247437	59	.0051673981
27mar1990	3.552584648132324	60	.00514137
28mar1990	3.552584648132324	61	0
29mar1990	3.497930526733398	62	-.015503893
30mar1990	3.443274974822998	63	-.015748469
02apr1990	3.452384233474731	64	.0026420285
03apr1990	3.488822221755981	65	.010499133
04apr1990	3.46149468421936	66	-.0078637218
05apr1990	3.425056219100952	67	-.0105826
06apr1990	3.415946006774902	68	-.0026634161
09apr1990	3.415946006774902	69	0
10apr1990	3.415946006774902	70	0
11apr1990	3.388621807098389	71	-.0080311773
12apr1990	3.388621807098389	72	0
16apr1990	3.40683650970459	73	.005360859
17apr1990	3.434166669845581	74	.0079901451
18apr1990	3.497930526733398	75	.018397219
19apr1990	3.516149997711182	76	.005195125
20apr1990	3.497930526733398	77	-.005195125
23apr1990	3.46149468421936	78	-.01047103
24apr1990	3.40683650970459	79	-.015916334
25apr1990	3.388621807098389	80	-.005360859
26apr1990	3.370102882385254	81	-.0054800194
27apr1990	3.286778211593628	82	-.025035454
30apr1990	3.268259763717651	83	-.0056501571
01may1990	3.286778211593628	84	.0056501571
02may1990	3.370102882385254	85	.025035454
03may1990	3.3793625831604	86	.0027438342
04may1990	3.397879838943481	87	.0054645534
07may1990	3.388622283935547	88	-.0027282275
08may1990	3.434913635253906	89	.01356835
09may1990	3.397879838943481	90	-.010840123
10may1990	3.370102882385254	91	-.0082083875
11may1990	3.434913635253906	92	.01904851
14may1990	3.518242359161377	93	.023969753
15may1990	3.536758422851563	94	.0052490728
16may1990	3.536758422851563	95	0
17may1990	3.536758422851563	96	0
18may1990	3.490464925765991	97	-.013175664
21may1990	3.527499914169312	98	.010554437
22may1990	3.527499914169312	99	0
23may1990	3.490464925765991	100	-.010554437
24may1990	3.44417405128479	101	-.013350821
25may1990	3.453430414199829	102	.0026839371
29may1990	3.490464925765991	103	.010666884
30may1990	3.44417405128479	104	-.013350821
31may1990	3.416397094726563	105	-.0080976086
01jun1990	3.471948385238647	106	.016129415
04jun1990	3.555275678634644	107	.023716677
05jun1990	3.50898289680481	108	-.013106384
06jun1990	3.44417405128479	109	-.0186421
07jun1990	3.434913635253906	110	-.0026923399
08jun1990	3.397879838943481	111	-.010840123
11jun1990	3.407137155532837	112	.0027207346
12jun1990	3.453430414199829	113	.013495665
13jun1990	3.434913635253906	114	-.005376277
14jun1990	3.434913635253906	115	0
15jun1990	3.388622283935547	116	-.01356835
18jun1990	3.323811054229736	117	-.0193114
19jun1990	3.333069801330566	118	.0027817092
20jun1990	3.323811054229736	119	-.0027817092
21jun1990	3.296035289764404	120	-.0083917137
22jun1990	3.286778211593628	121	-.0028125008
25jun1990	3.240484952926636	122	-.014184822
26jun1990	3.212709903717041	123	-.008608208
27jun1990	3.240484952926636	124	.008608208
28jun1990	3.249744415283203	125	.0028533563
29jun1990	3.240484952926636	126	-.0028533563
02jul1990	3.286778211593628	127	.014184822
03jul1990	3.333069801330566	128	.013985923
05jul1990	3.259001493453979	129	-.022472883
06jul1990	3.259001493453979	130	0
09jul1990	3.277519941329956	131	.0056661628
