date	adjclose_IBM	time	IBM
06aug2001	83.243446	150	-.015557556
07aug2001	83.040237	151	-.0024441245
08aug2001	81.537674	152	-.018260108
09aug2001	81.451584	153	-.0010563898
10aug2001	82.132431	154	.0083241761
13aug2001	82.844589	155	.0086334767
14aug2001	83.110664	156	.0032065916
15aug2001	82.17939	157	-.011268485
16aug2001	82.758507	158	.0070222695
17aug2001	81.8507	159	-.011029949
20aug2001	81.467239	160	-.0046958919
21aug2001	79.737724	161	-.021458166
22aug2001	81.357674	162	.020112356
23aug2001	80.606392	163	-.0092772078
24aug2001	83.728912	164	.038006395
27aug2001	83.627174	165	-.0012158266
28aug2001	82.132431	166	-.018035563
29aug2001	81.490715	167	-.0078438697
30aug2001	78.540367	168	-.036876366
31aug2001	78.219505	169	-.0040936787
04sep2001	79.424683	170	.015290139
05sep2001	78.532539	171	-.011296131
06sep2001	76.693459	172	-.023696635
07sep2001	75.590012	173	-.014492266
10sep2001	75.496101	174	-.0012431352
17sep2001	73.046608	175	-.032983314
18sep2001	75.441322	176	.032257464
19sep2001	75.128288	177	-.0041580037
20sep2001	73.093567	178	-.027456803
21sep2001	70.824066	179	-.031541497
24sep2001	74.189186	180	.046419539
25sep2001	73.915276	181	-.0036988871
26sep2001	71.450134	182	-.033919729
27sep2001	70.43277	183	-.014341149
28sep2001	71.778816	184	.018930759
01oct2001	72.553581	185	.010735947
02oct2001	73.383118	186	.011368564
03oct2001	75.871742	187	.033350408
04oct2001	76.153473	188	.0037063716
05oct2001	76.709106	189	.0072697452
08oct2001	77.084755	190	.0048851008
09oct2001	76.020439	191	-.01390329
10oct2001	76.106522	192	.0011317187
11oct2001	77.789085	193	.021867171
12oct2001	78.916	194	.01438287
15oct2001	79.823807	195	.01143779
16oct2001	79.706413	196	-.0014717402
17oct2001	80.528137	197	.010256603
18oct2001	79.244698	198	-.016066151
19oct2001	80.332489	199	.013633632
22oct2001	82.36721	200	.02501329
23oct2001	82.805458	201	.0053065522
24oct2001	84.965401	202	.025750145
25oct2001	86.601006	203	.019067304
26oct2001	86.992302	204	.0045082043
29oct2001	85.004532	205	-.023115059
30oct2001	85.028008	206	.00027613124
31oct2001	84.574104	207	-.0053525781
01nov2001	85.998413	208	.016700719
02nov2001	85.693207	209	-.0035552885
05nov2001	86.06102	210	.0042830231
06nov2001	88.909637	211	.032563966
07nov2001	89.207382	212	.0033432518
08nov2001	89.176041	213	-.00035139534
09nov2001	89.387604	214	.0023696113
12nov2001	89.998772	215	.00681401
13nov2001	91.440506	216	.015892532
14nov2001	89.599159	217	-.020342616
15nov2001	89.912582	218	.0034919551
16nov2001	89.716698	219	-.0021809894
19nov2001	90.108475	220	.004357317
20nov2001	90.453239	221	.0038188065
21nov2001	89.591324	222	-.0095745428
23nov2001	90.382713	223	.0087945415
26nov2001	91.150597	224	.0084600216
27nov2001	89.481628	225	-.018479712
28nov2001	87.875351	226	-.018113991
29nov2001	89.66185	227	.020126028
30nov2001	90.570763	228	.010086081
03dec2001	89.426781	229	-.012711255
04dec2001	91.393494	230	.021754093
05dec2001	95.123207	231	.039998677
06dec2001	94.135925	232	-.010433217
07dec2001	94.339653	233	.0021618484
10dec2001	93.759827	234	-.0061651226
11dec2001	95.201561	235	.015259861
12dec2001	96.533592	236	.013894715
13dec2001	94.222122	237	-.024236057
14dec2001	94.888138	238	.0070437044
17dec2001	95.076187	239	.0019798388
18dec2001	95.750046	240	.007062566
19dec2001	97.074249	241	.013735036
20dec2001	96.141823	242	-.0096517196
21dec2001	95.593338	243	-.0057212906
24dec2001	95.162376	244	-.0045184735
26dec2001	95.906761	245	.0077918237
27dec2001	96.768661	246	.0089467149
28dec2001	96.298531	247	-.0048701372
31dec2001	94.778442	248	-.015911078
02jan2002	95.201561	249	.0044543562
03jan2002	96.894035	250	.017621623
04jan2002	98.414124	251	.015566363
07jan2002	97.199615	252	-.01241757
08jan2002	97.708923	253	.0052261334
09jan2002	97.54438	254	-.0016854331
10jan2002	95.703033	255	-.01905746
11jan2002	94.269135	256	-.015096171
14jan2002	92.498306	257	-.018963492
15jan2002	93.125145	258	.0067538996
16jan2002	91.988998	259	-.012275246
17jan2002	93.947876	260	.02107113
18jan2002	89.520805	261	-.048269056
22jan2002	86.582489	262	-.033373471
23jan2002	84.545258	263	-.023810606
24jan2002	85.187767	264	.0075708604
25jan2002	85.626556	265	.0051376293
28jan2002	84.741142	266	-.010394248
29jan2002	80.705849	267	-.048790179
30jan2002	82.703911	268	.024455843
31jan2002	84.537415	269	.021927321
01feb2002	84.623611	270	.0010191107
04feb2002	83.68335	271	-.011173295
05feb2002	83.291573	272	-.0046926537
06feb2002	83.660324	273	.0044174655
07feb2002	81.526253	274	-.025839752
08feb2002	82.373604	275	.010339956
11feb2002	84.248764	276	.022508856
12feb2002	83.613251	277	-.00757189
13feb2002	84.790123	278	.013977053
14feb2002	84.648903	279	-.0016669139
15feb2002	80.725975	280	-.047451753
19feb2002	79.478485	281	-.015574038
20feb2002	77.91716	282	-.019840145
21feb2002	75.618324	283	-.029947573
22feb2002	77.242416	284	.021250103
25feb2002	77.124733	285	-.0015247212
26feb2002	76.222458	286	-.011767878
27feb2002	76.755974	287	.0069750762
28feb2002	76.983505	288	.0029599632
01mar2002	80.827972	289	.048731916
04mar2002	83.087578	290	.027572107
05mar2002	82.90712	291	-.0021742638
06mar2002	83.401413	292	.0059443093
07mar2002	81.369331	293	-.024666814
08mar2002	82.452057	294	.013218558
11mar2002	82.569748	295	.0014263698
12mar2002	85.127495	296	.030506706
13mar2002	84.091843	297	-.012240505
14mar2002	83.636787	298	-.0054261023
15mar2002	83.785858	299	.001780772
18mar2002	83.440636	300	-.0041288072
19mar2002	84.335068	301	.010662337
20mar2002	82.773743	302	-.018686872
21mar2002	83.778008	303	.012059639
22mar2002	82.852203	304	-.011112195
25mar2002	81.251648	305	-.019507235
26mar2002	80.733826	306	-.0063934624
27mar2002	81.118263	307	.0047504888
28mar2002	81.596863	308	.0058826851
01apr2002	80.702438	309	-.011022025
02apr2002	79.20388	310	-.018743498
03apr2002	78.427139	311	-.0098552592
04apr2002	79.117569	312	.0087649291
05apr2002	76.300911	313	-.036250085
08apr2002	68.580597	314	-.10667522
09apr2002	68.839508	315	.003768174
10apr2002	69.835938	316	.014370916
11apr2002	66.05423	317	-.055672675
12apr2002	67.160492	318	.016609089
15apr2002	66.964348	319	-.0029248011
16apr2002	67.631248	320	.009909776
17apr2002	66.540672	321	-.016256757
18apr2002	69.788857	322	.047660973
19apr2002	69.828087	323	.00056197116
22apr2002	68.988579	324	-.012095353
23apr2002	68.51783	325	-.0068469644
24apr2002	67.866623	326	-.0095496504
25apr2002	68.031387	327	.0024248257
26apr2002	66.462212	328	-.023335638
29apr2002	65.818855	329	-.0097271875
30apr2002	65.716858	330	-.00155087
01may2002	66.140541	331	.0064264066
02may2002	65.795319	332	-.0052331984
03may2002	64.163383	333	-.025115993
06may2002	59.628479	334	-.073299401
07may2002	60.020771	335	.0065573906
08may2002	64.816139	336	.076863952
09may2002	62.835106	337	-.031040706
10may2002	62.638573	338	-.0031326627
13may2002	64.611755	339	.0310151
14may2002	67.198112	340	.039248794
15may2002	66.427704	341	-.011530963
16may2002	67.174522	342	.011179849
17may2002	67.363197	343	.0028047904
20may2002	66.388397	344	-.014576535
21may2002	65.602264	345	-.011912087
22may2002	66.034637	346	.0065692007
23may2002	66.309784	347	.0041580428
24may2002	65.327126	348	-.014930108
28may2002	64.525276	349	-.012350323
29may2002	64.147934	350	-.0058651417
30may2002	64.65892	351	.0079341894
31may2002	63.243889	352	-.022127571
03jun2002	61.404354	353	-.029517759
04jun2002	62.347706	354	.015246131
05jun2002	63.322506	355	.015513933
06jun2002	62.622852	356	-.011110545
07jun2002	61.553722	357	-.017219936
10jun2002	60.374531	358	-.019342987
