date	adjclose_IBM	adjclose_MSFT
02jan1990	14.14189434051514	.4093422889709473
03jan1990	14.26816463470459	.4116484522819519
04jan1990	14.43050098419189	.4237557351589203
05jan1990	14.39443111419678	.4133780002593994
08jan1990	14.48462009429932	.4197198152542114
09jan1990	14.3403205871582	.418566882610321
10jan1990	14.28620529174805	.407036155462265
11jan1990	14.41247081756592	.3989646136760712
12jan1990	14.12385749816895	.3972350656986237
15jan1990	14.15993499755859	.3972350656986237
16jan1990	14.44853591918945	.4093422889709473
17jan1990	14.26816463470459	.4035769104957581
18jan1990	14.35835266113281	.4381691217422485
19jan1990	14.23209095001221	.4341334700584412
22jan1990	13.94347095489502	.418566882610321
23jan1990	13.96152210235596	.4139546155929565
24jan1990	14.06975173950195	.418566882610321
25jan1990	13.83524990081787	.418566882610321
26jan1990	13.97955703735352	.418566882610321
29jan1990	14.03366851806641	.4220262765884399
30jan1990	14.03366851806641	.4208729565143585
31jan1990	14.23209095001221	.4266383349895477
01feb1990	14.10581684112549	.4324038922786713
02feb1990	14.19600582122803	.4324038922786713
05feb1990	14.5554256439209	.4347100853919983
06feb1990	14.75631237030029	.4335567355155945
07feb1990	15.06678581237793	.4300977885723114
08feb1990	15.01199150085449	.4347100853919983
09feb1990	14.97546768188477	.4358631670475006
12feb1990	14.77457427978516	.4370160400867462
13feb1990	15.085036277771	.4370160400867462
14feb1990	15.1580982208252	.4381691217422485
15feb1990	15.1580982208252	.4473938941955566
16feb1990	15.12156963348389	.4520061016082764
20feb1990	15.03025245666504	.4623838365077972
21feb1990	15.32246017456055	.4433580338954926
22feb1990	15.085036277771	.4445111155509949
23feb1990	14.99372959136963	.4496998488903046
26feb1990	15.19462394714355	.4577714800834656
27feb1990	15.1580982208252	.4520061016082764
28feb1990	15.17635917663574	.4554654359817505
01mar1990	15.19462394714355	.4612306952476501
02mar1990	15.32246017456055	.4785269200801849
05mar1990	15.34072208404541	.4854452908039093
06mar1990	15.45030212402344	.4819862544536591
07mar1990	15.41377067565918	.4739147126674652
08mar1990	15.63292789459229	.4900578856468201
09mar1990	15.55987739562988	.4912105202674866
12mar1990	15.74250888824463	.4992823004722595
13mar1990	15.52335643768311	.4900578856468201
14mar1990	15.52335643768311	.4975526034832001
15mar1990	15.63292789459229	.5119661092758179
16mar1990	15.87033748626709	.5258030295372009
19mar1990	15.92513179779053	.5373336672782898
20mar1990	15.77902412414551	.5211907625198364
21mar1990	15.6694507598877	.5223439335823059
22mar1990	15.55987739562988	.5131193399429321
23mar1990	15.34072208404541	.5085068941116333
26mar1990	15.21288204193115	.5142722129821777
27mar1990	15.26766777038574	.5188847184181213
28mar1990	15.46855354309082	.5119661092758179
29mar1990	15.48682498931885	.509660005569458
30mar1990	15.50508975982666	.5108130574226379
02apr1990	15.46855354309082	.5142722129821777
03apr1990	15.57813167572021	.535027801990509
04apr1990	15.55987739562988	.5396400690078735
05apr1990	15.50508975982666	.5281093120574951
06apr1990	15.46855354309082	.5269560813903809
09apr1990	15.41377067565918	.5281093120574951
10apr1990	15.46855354309082	.5442522764205933
11apr1990	15.54161167144775	.5580894351005554
12apr1990	15.65119171142578	.5569362044334412
16apr1990	16.19908142089844	.5603952407836914
17apr1990	16.23559761047363	.5719261765480042
18apr1990	16.05296516418457	.5592421889305115
19apr1990	15.94339179992676	.5488644242286682
20apr1990	15.9799222946167	.5465583801269531
23apr1990	15.9799222946167	.5442522764205933
24apr1990	15.90687084197998	.535027801990509
25apr1990	15.9799222946167	.535027801990509
26apr1990	15.88860321044922	.5292623043060303
27apr1990	15.68771743774414	.5188847184181213
30apr1990	15.92513179779053	.535027801990509
01may1990	15.77902412414551	.5269560813903809
02may1990	15.94339179992676	.5373336672782898
03may1990	15.96164703369141	.5442522764205933
04may1990	16.32509613037109	.5696200728416443
07may1990	16.32509613037109	.5903754830360413
08may1990	16.36202812194824	.578844428062439
09may1990	16.43589019775391	.578844428062439
10may1990	16.60210037231445	.5949876308441162
11may1990	16.8421745300293	.6042121648788452
14may1990	16.87911033630371	.6065185070037842
15may1990	17.08224868774414	.5972940325737
16may1990	17.04531669616699	.5972940325737
17may1990	17.15612030029297	.5972940325737
18may1990	17.04531669616699	.6295799016952515
21may1990	17.28539085388184	.6480292677879333
22may1990	17.39619255065918	.6595600247383118
23may1990	17.54393005371094	.6999175548553467
24may1990	17.54393005371094	.7056829929351807
25may1990	17.17458915710449	.6849278211593628
29may1990	17.69168281555176	.6941523551940918
30may1990	17.85787582397461	.6964586973190308
31may1990	17.72859764099121	.6733968257904053
01jun1990	17.65474319458008	.6929993033409119
04jun1990	17.78401374816895	.7056829929351807
05jun1990	17.83941268920898	.6768561601638794
06jun1990	17.82094764709473	.6733968257904053
07jun1990	17.82094764709473	.6641722917556763
08jun1990	17.54393005371094	.6780093908309937
11jun1990	17.71014404296875	.6906929016113281
12jun1990	17.76553726196289	.6999175548553467
13jun1990	17.93174171447754	.7056829929351807
14jun1990	17.85787582397461	.6964586973190308
15jun1990	17.78401374816895	.70107102394104
18jun1990	17.52546882629395	.6906929016113281
19jun1990	17.54393005371094	.6918460130691528
20jun1990	17.43313789367676	.7160608172416687
21jun1990	17.59933662414551	.7102952003479004
22jun1990	17.17458915710449	.6987646222114563
25jun1990	17.22999382019043	.6872339248657227
26jun1990	17.24845886230469	.6895400881767273
27jun1990	17.43313789367676	.7033770084381104
28jun1990	17.37771987915039	.7056829929351807
29jun1990	17.35926246643066	.70107102394104
02jul1990	17.50700187683105	.680315375328064
03jul1990	17.37771987915039	.6641722917556763
