USUK	USDE	t
2.255000060987284	.560799968181194	1
2.231499988647941	.5602999576474279	2
2.243499671475567	.5599000462630213	3
2.226500343371702	.5562001875408116	4
2.220499121237255	.5555998155974731	5
2.216800632748781	.5529000694653926	6
2.231000188630176	.5534997381023741	7
2.237499617014154	.5541000571326073	8
2.220499121237255	.5489999107724681	9
2.206500993526573	.5447000515245417	10
2.181500624821988	.5329999226170895	11
2.201000434599985	.5349002489665524	12
2.189000397214387	.533800022425853	13
2.196499594891422	.5360000632004793	14
2.184500066825268	.532800085117981	15
2.180800475501398	.5298999838292648	16
2.193799561250801	.5285002503356293	17
2.199999207198748	.5282999866931095	18
2.174000459368384	.520000243051522	19
2.172800742267196	.5189000480545234	20
2.163499392742842	.513099754242716	21
2.142499204083256	.5071999370357501	22
2.152999529823119	.5114998432715422	23
2.138000400655137	.5092002099426358	24
2.13399967375504	.5071000284894689	25
2.150000339399949	.5118999925869711	26
2.180998937374547	.5290999095620299	27
2.188499173515729	.5287999949471365	28
2.197000453894813	.5325002030947703	29
2.212499783396377	.5352999687292745	30
2.192499023758457	.5275002181908806	31
2.214500787518159	.5355002083600562	32
2.221001010750033	.5378997900592525	33
2.231000188630176	.5413999468355709	34
2.232499924611787	.540099984544116	35
2.240999563411134	.5378997900592525	36
2.26000042197776	.5470998237858788	37
2.264500036199999	.5503999957965969	38
2.277499202529013	.5501001095253195	39
2.292999991112865	.5562001875408116	40
2.275500435816181	.5546000808609407	41
2.253000762753037	.5553998356624061	42
2.26000042197776	.5555998155974731	43
2.262499102710904	.5496997823823457	44
2.265999631535254	.5546000808609407	45
2.287000194302055	.5592000492445726	46
2.27980063875322	.5599000462630213	47
2.283999333543141	.5577000533086656	48
2.27349887624804	.5541000571326073	49
2.279998990036947	.5576002339332239	50
2.281999426214257	.5577000533086656	51
2.286499396098908	.5586997891003067	52
2.297000175245117	.5578997456705501	53
2.285500414156265	.5574998749236978	54
2.285500414156265	.5556998325655377	55
2.287299810951971	.5547997728324489	56
2.320500743258373	.558299903227537	57
2.318999864864002	.5578997456705501	58
2.337500041652603	.5605000204413919	59
2.373999296851035	.5674997330631465	60
2.351000541769363	.5639001963325336	61
2.346300893251741	.5636002812125802	62
2.329000021188767	.5599000462630213	63
2.351499006719636	.5634999692905504	64
2.336999870163947	.562600215434423	65
2.319500822936337	.5626998044859259	66
2.330999160715163	.5639001963325336	67
2.33300001623933	.5636002812125802	68
2.351000541769363	.5667001222975927	69
2.335000254232804	.5681998917931669	70
2.334299859221039	.566300173209891	71
2.338500705797281	.5665998252524964	72
2.342999626231411	.5705999088196892	73
2.338998859499102	.5667998702966836	74
2.331299879002807	.5653999059867925	75
2.329500810026194	.5669002027528866	76
2.324999909233584	.5645998662817034	77
2.33800032018941	.5650997583329681	78
2.340299704466373	.5660001136408994	79
2.334299859221039	.564999744527226	80
2.333700021239701	.5654999906273815	81
2.339700664422427	.5665998252524964	82
2.351000541769363	.5669002027528866	83
2.360199147473466	.5683999333603283	84
2.360999390618008	.5667998702966836	85
2.357000886340602	.5681998917931669	86
2.33800032018941	.5678000198407869	87
2.363399384989566	.5736998091726744	88
2.375500138622689	.5766002847123701	89
2.376500434728605	.5753999009533508	90
2.372499403311708	.5743002131295958	91
2.377199228574077	.5736998091726744	92
2.37280072986976	.5729997491792737	93
2.369000177256527	.5714998832695777	94
2.371500791285496	.5735001963737237	95
2.376799892648834	.5755000292470257	96
2.374998960969541	.5733998426205679	97
2.378999449687831	.5746000760982752	98
2.384000597899877	.5757999428829814	99
2.384999703448392	.5743002131295958	100
2.39300045723956	.5756001749645394	101
2.394000940517124	.5755000292470257	102
2.386999170859718	.5740998173263153	103
2.373999296851035	.5695999537965396	104
2.366499833483208	.5669002027528866	105
2.34650033730392	.5602999576474279	106
2.329999376544254	.5574000913769803	107
2.349000691365355	.5607001546705238	108
2.357000886340602	.5634999692905504	109
2.370500229085046	.5647997700152404	110
2.367501074660351	.5618002046705154	111
2.370000106301518	.5600002773417163	112
2.371199629809161	.5600002773417163	113
2.370699359467648	.5617002131335948	114
2.378100357834915	.5629998034243318	115
2.372399760429285	.5597001976216104	116
2.373500809341717	.5631000263089134	117
2.368000670092569	.5546999178605561	118
2.361799905090964	.555899920518932	119
2.368500370950545	.5562001875408116	120
2.366999217631248	.5553998356624061	121
2.366000554694108	.5537001412783534	122
2.373500809341717	.5539997740981548	123
2.373000053502545	.5543999063654202	124
2.389999125395388	.555799867538277	125
2.391500516233516	.5574000913769803	126
2.392500372404683	.556899770772497	127
2.419800261035357	.562600215434423	128
2.415900269403132	.5620002411477584	129
2.421499557201773	.5637998310303634	130
2.412501075417943	.5608997994602506	131
2.418000599198365	.5626998044859259	132
2.403999959918202	.5625000815082595	133
2.400199838670073	.5621997866505969	134
2.412599989989769	.5627999739659436	135
2.41300051483075	.5613997838915564	136
2.38949966777332	.5605997983249986	137
2.386500340162632	.5605000204413919	138
2.394498944503371	.5617002131335948	139
2.389000314526987	.5587998053137396	140
2.384000597899877	.5562001875408116	141
2.389100654647325	.554300123363014	142
2.40649901391029	.5513000845619834	143
2.404500043916797	.5554998166308426	144
2.402000663774076	.5566002392770184	145
2.39300045723956	.5532999607588992	146
2.388501065634578	.5511997570766712	147
2.389200998982036	.5521999886722152	148
2.389999125395388	.5541998041198507	149
2.386999170859718	.5531002555220293	150
2.387999533073556	.552000128453198	151
2.396000766113449	.5551000007138706	152
2.389000314526987	.5541998041198507	153
2.39300045723956	.5546000808609407	154
2.39300045723956	.5534997381023741	155
