date	adjclose_GM	time	Y
18nov2010		1	
19nov2010	29.0720272064209	2	
22nov2010	28.91929244995117	3	-.0052675162
23nov2010	28.21497344970703	4	-.024656121
24nov2010	28.41014289855957	5	.0068934155
26nov2010	28.68169212341309	6	.0095127886
29nov2010	28.68169212341309	7	0
30nov2010	29.0211124420166	8	.011764566
01dec2010	29.51328468322754	9	.01681691
02dec2010	29.42842483520508	10	-.0028794517
03dec2010	29.3181209564209	11	-.0037552509
06dec2010	29.25871276855469	12	-.0020283859
07dec2010	29.42842483520508	13	.0057836366
08dec2010	29.2332592010498	14	-.0066539636
09dec2010	28.63077163696289	15	-.020825004
10dec2010	28.69017219543457	16	.0020725611
13dec2010	28.68169212341309	17	-.00029561779
14dec2010	28.75804710388184	18	.0026586133
15dec2010	28.52045822143555	19	-.0082959654
16dec2010	28.52045822143555	20	0
17dec2010	28.85140419006348	21	.011537001
20dec2010	28.64774513244629	22	-.0070839277
21dec2010	28.72411918640137	23	.0026624235
22dec2010	29.63207817077637	24	.031120338
23dec2010	29.53875160217285	25	-.0031544815
27dec2010	29.36054420471191	26	-.0060512759
28dec2010	29.97151947021484	27	.020595841
29dec2010	30.56551933288574	28	.019624975
30dec2010	31.24436569213867	29	.021966508
31dec2010	31.27831268310547	30	.0010859098
03jan2011	31.44803047180176	31	.0054113851
04jan2011	32.16082763671875	32	.022412822
05jan2011	32.30508422851563	33	.0044754455
06jan2011	33.00940322875977	34	.021567842
07jan2011	33.07728576660156	35	.0020543491
10jan2011	32.72088623046875	36	-.01083322
11jan2011	32.88211059570313	37	.0049151625
12jan2011	32.77179336547852	38	-.003360572
13jan2011	32.47480010986328	39	-.0091037797
14jan2011	32.41540145874023	40	-.0018307439
18jan2011	32.27113342285156	41	-.004460535
19jan2011	31.73653602600098	42	-.016704556
20jan2011	31.54985809326172	43	-.0058994819
21jan2011	31.60076522827148	44	.0016122452
24jan2011	31.94019508361816	45	.010683915
25jan2011	32.58510971069336	46	.019990176
26jan2011	32.15234375	47	-.013370078
27jan2011	32.8142204284668	48	.020376623
28jan2011	31.05768585205078	49	-.055015661
31jan2011	30.9643440246582	50	-.0030099594
01feb2011	30.93039512634277	51	-.0010969883
02feb2011	30.27700042724609	52	-.021350998
03feb2011	30.59945869445801	53	.010593956
04feb2011	31.04919624328613	54	.014590603
07feb2011	31.14253616333008	55	.0030016848
08feb2011	31.30377960205078	56	.0051642372
09feb2011	30.89645957946777	57	-.013097243
10feb2011	30.44671058654785	58	-.014663639
11feb2011	30.93039512634277	59	.0157614
14feb2011	30.79463005065918	60	-.0043990356
15feb2011	30.64188194274902	61	-.0049725617
16feb2011	31.18497276306152	62	.017568573
17feb2011	30.86251068115234	63	-.010394135
18feb2011	30.98130416870117	64	.0038417305
22feb2011	30.35336875915527	65	-.020476423
23feb2011	29.3520565032959	66	-.033544898
24feb2011	28.01979827880859	67	-.046451271
25feb2011	28.21497344970703	68	.0069414689
28feb2011	28.45257186889648	69	.0083857458
01mar2011	27.96040344238281	70	-.017449209
02mar2011	27.9010009765625	71	-.002126781
03mar2011	28.02828407287598	72	.0045515802
04mar2011	27.48520088195801	73	-.019566435
07mar2011	26.89969062805176	74	-.021532925
08mar2011	27.76523399353027	75	.031669877
09mar2011	27.36640167236328	76	-.014468618
10mar2011	26.6620922088623	77	-.026073255
11mar2011	27.0948600769043	78	.016101256
14mar2011	26.80634498596191	79	-.010705432
15mar2011	27.45125961303711	80	.023773441
16mar2011	26.96757125854492	81	-.017776975
17mar2011	26.6790599822998	82	-.010756092
18mar2011	27.02697563171387	83	.012956478
21mar2011	26.54328536987305	84	-.018058654
22mar2011	26.08505439758301	85	-.017414289
23mar2011	26.44145774841309	86	.013570625
24mar2011	26.63663101196289	87	.0073542264
25mar2011	26.70451545715332	88	.0025452953
28mar2011	26.17840385437012	89	-.019897878
29mar2011	26.39054298400879	90	.0080709355
30mar2011	26.77239990234375	91	.014365776
31mar2011	26.33115005493164	92	-.016618852
01apr2011	27.50217056274414	93	.043512281
04apr2011	27.48520088195801	94	-.00061722106
05apr2011	27.89251518249512	95	.014710669
06apr2011	27.89251518249512	96	0
07apr2011	27.41731452941895	97	-.017183648
08apr2011	26.74694442749023	98	-.024754491
11apr2011	26.11051940917969	99	-.024081964
12apr2011	26.4329776763916	100	.01227411
13apr2011	26.1868896484375	101	-.0093534943
14apr2011	25.94928741455078	102	-.0091147413
15apr2011	25.66077423095703	103	-.011180618
18apr2011	25.43166160583496	104	-.008968614
19apr2011	25.10920333862305	105	-.012760472
20apr2011	25.3977222442627	106	.011425049
21apr2011	26.26326179504395	107	.033511579
25apr2011	26.42448806762695	108	.0061200857
26apr2011	26.53480339050293	109	.0041660485
27apr2011	26.96757125854492	110	.016177872
28apr2011	27.07789039611816	111	.0040824628
29apr2011	27.23063278198242	112	.0056250026
02may2011	27.30700492858887	113	.0028007152
03may2011	27.99434471130371	114	.024859255
04may2011	28.03677368164063	115	.0015144791
05may2011	27.17123031616211	116	-.03135829
06may2011	27.07789039611816	117	-.0034411622
09may2011	26.63663101196289	118	-.016430167
10may2011	26.82331657409668	119	.0069841566
11may2011	26.56026268005371	120	-.009855316
12may2011	26.6620922088623	121	.0038265744
13may2011	26.36509132385254	122	-.011201953
16may2011	26.39054298400879	123	.0009648889
17may2011	26.39054298400879	124	0
18may2011	26.74694442749023	125	.013414514
19may2011	26.70451545715332	126	-.0015875704
20may2011	26.45843505859375	127	-.0092576565
23may2011	26.27174758911133	128	-.0070808874
24may2011	26.16142845153809	129	-.0042079962
